type,id,name,ISIN_code,start_date,market,industry,CFI_code
上櫃認購(售)權證,70001X,臺銀金元大63展01,TW16Z70001X4,2016/09/27,上櫃,,RWTCCE
上櫃認購(售)權證,70001Y,一銀金元大63展01,TW16Z70001Y2,2016/09/27,上櫃,,RWTCPE
上櫃認購(售)權證,70002X,世界元大63展02,TW16Z70002X2,2016/09/01,上櫃,,RWTCCE
上櫃認購(售)權證,70003X,新普元大63展02,TW16Z70003X0,2016/09/01,上櫃,,RWSCCE
上櫃認購(售)權證,70004X,頎邦元大63展03,TW16Z70004X8,2016/09/01,上櫃,,RWSCCE
上櫃認購(售)權證,70005X,精華元大66展02,TW16Z70005X5,2016/12/19,上櫃,,RWSCCE
上櫃認購(售)權證,70006X,良維元大6C展02,TW17Z70006X2,2017/06/19,上櫃,,RWSCCE
上櫃認購(售)權證,70306P,精材中信77售01,TW17Z70306P2,2017/09/11,上櫃,,RWSCPE
上櫃認購(售)權證,70366P,昇達科群益76售01,TW17Z70366P6,2017/10/03,上櫃,,RWSCPE
上櫃認購(售)權證,70372P,中美晶中信76售01,TW17Z70372P4,2017/10/06,上櫃,,RWSCPE
上櫃認購(售)權證,70384P,穩懋中信76售01,TW17Z70384P9,2017/10/12,上櫃,,RWSCPE
上櫃認購(售)權證,70420P,合晶群益76售01,TW17Z70420P1,2017/10/20,上櫃,,RWSCPE
上櫃認購(售)權證,70425P,恒耀群益76售01,TW17Z70425P0,2017/10/23,上櫃,,RWSCPE
上櫃認購(售)權證,70435P,中美晶國泰76售03,TW17Z70435P9,2017/10/25,上櫃,,RWSCPE
上櫃認購(售)權證,70446P,中美晶中信76售02,TW17Z70446P6,2017/10/30,上櫃,,RWSCPE
上櫃認購(售)權證,70447P,穩懋中信76售02,TW17Z70447P4,2017/10/30,上櫃,,RWSCPE
上櫃認購(售)權證,70455P,大中群益75售01,TW17Z70455P7,2017/10/31,上櫃,,RWSCPE
上櫃認購(售)權證,70459P,威剛元大75售02,TW17Z70459P9,2017/11/01,上櫃,,RWSCPE
上櫃認購(售)權證,70462P,精測群益76售01,TW17Z70462P3,2017/11/02,上櫃,,RWSCPE
上櫃認購(售)權證,70463P,穩懋群益76售01,TW17Z70463P1,2017/11/02,上櫃,,RWSCPE
上櫃認購(售)權證,70467P,勝麗群益76售01,TW17Z70467P2,2017/11/03,上櫃,,RWSCPE
上櫃認購(售)權證,70468P,光燿科康和76售01,TW17Z70468P0,2017/11/03,上櫃,,RWSCPE
上櫃認購(售)權證,70470P,雙鴻凱基76售01,TW17Z70470P6,2017/11/06,上櫃,,RWSCPE
上櫃認購(售)權證,70473P,元太群益76售01,TW17Z70473P0,2017/11/06,上櫃,,RWSCPE
上櫃認購(售)權證,70475P,穩懋群益76售02,TW17Z70475P5,2017/11/06,上櫃,,RWSCPE
上櫃認購(售)權證,70476P,中美晶國泰76售04,TW17Z70476P3,2017/11/07,上櫃,,RWSCPE
上櫃認購(售)權證,70483P,金居群益76售02,TW17Z70483P9,2017/11/08,上櫃,,RWSCPE
上櫃認購(售)權證,70495P,台半群益76售01,TW17Z70495P3,2017/11/10,上櫃,,RWSCPE
上櫃認購(售)權證,70501P,精測群益76售02,TW17Z70501P8,2017/11/14,上櫃,,RWSCPE
上櫃認購(售)權證,70510P,穩懋元大76售02,TW17Z70510P9,2017/11/15,上櫃,,RWSCPE
上櫃認購(售)權證,70511P,大中群益76售02,TW17Z70511P7,2017/11/15,上櫃,,RWSCPE
上櫃認購(售)權證,70518P,群聯中信77售02,TW17Z70518P2,2017/11/17,上櫃,,RWSCPE
上櫃認購(售)權證,70534P,環球晶中信76售02,TW17Z70534P9,2017/11/22,上櫃,,RWSCPE
上櫃認購(售)權證,70559P,聯亞兆豐76售02,TW17Z70559P6,2017/11/27,上櫃,,RWSCPE
上櫃認購(售)權證,70561P,原相元大76售02,TW17Z70561P2,2017/11/27,上櫃,,RWSCPE
上櫃認購(售)權證,70571P,環球晶國泰75售03,TW17Z70571P1,2017/11/30,上櫃,,RWSCPE
上櫃認購(售)權證,70572P,合晶兆豐76售01,TW17Z70572P9,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70573P,穩懋兆豐76售02,TW17Z70573P7,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70574P,昂寶康和75售01,TW17Z70574P5,2017/12/01,上櫃,,RWSCPE
上櫃認購(售)權證,70575P,精測國泰76售02,TW17Z70575P2,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70576P,精材元富76售02,TW17Z70576P0,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70577P,凡甲康和76售01,TW17Z70577P8,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70578P,碩禾康和76售01,TW17Z70578P6,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70579P,昂寶凱基76售02,TW17Z70579P4,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70580P,環球晶元大76售01,TW17Z70580P2,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70581P,穩懋統一76售01,TW17Z70581P0,2017/12/04,上櫃,,RWSCPE
上櫃認購(售)權證,70582P,群聯永豐76售02,TW17Z70582P8,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70583P,大江康和76售01,TW17Z70583P6,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70584P,立端康和76售02,TW17Z70584P4,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70585P,頎邦康和76售01,TW17Z70585P1,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70586P,群聯元大76售01,TW17Z70586P9,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70587P,精材元大76售01,TW17Z70587P7,2017/12/05,上櫃,,RWSCPE
上櫃認購(售)權證,70588P,雙鴻元大76售03,TW17Z70588P5,2017/12/05,上櫃,,RWSCPE
